Item Name,Average Unit Cost,Department Name
H341332/3,14.14,SHOCKS
MR448162 / MR 341251,17.1,SHOCKS
51605/6-TM4-CO1/ 338001/2,10,SHOCKS SUPERFLEX
48510/20-09B40 / 334815/6,19.4,SHOCKS
54302/3-EE90A / 333390/1,10.55,SHOCKS
48510/20-80334 / 339066/7,19.4,SHOCKS
334243/4,16.45,SHOCKS
MR316069/70,17.1,SHOCKS
41601/2-63J00 / 333425/6,20.39,SHOCKS
48510/20-87408 / 339021/2,16.9,SHOCKS
31470-26060 CLUTCH MASTER,7,CLUTCH MASTER CYLINDER
31470-30220 CLUTCH MASTER,3.43,CLUTCH MASTER CYLINDER
31470-OK030 CLUTCH MASTER,3.08,CLUTCH MASTER CYLINDER
31420-OK012 CLUTCH MASTER,6.76,CLUTCH MASTER CYLINDER
31410/01-36060 CLUTCH MASTER,5.21,CLUTCH MASTER CYLINDER
31420-26170 CLUTCH MASTER,5.14,CLUTCH MASTER CYLINDER
31420-OK013 CLUTCH MASTER,7,CLUTCH MASTER CYLINDER
48510/20-68040 / 334436/7,13.81,SHOCKS
48510/20-44011 / 334172/3,17.42,SHOCKS
CRMZ 44 KNUCKLES,2.48,KNUCKLES
CRMZ 48 KNUCKLES,2.4,KNUCKLES
CRMZ26 KNUCKLES,3,KNUCKLES
CRHO17 KNUCKLES,2.37,KNUCKLES
CRHO33,3,KNUCKLES
TO 54 CV JOINTS,8.88,CV JOINTS
TO107,8.88,CV JOINTS
TO14 CV JOINT,11.64,CV JOINTS
TO73 CV JOINTS,9,CV JOINTS
TO72,7.26,CV JOINTS
TO41 CV JOINTS,8.3,CV JOINTS
TO927 CV JOINTS,14.14,CV JOINTS
TO 55,6.88,CV JOINTS
TO 03,7.89,CV JOINTS
CV 7 / TO 04,8.55,CV JOINTS
T0 04A,8.39,CV JOINTS
TO75,7.53,CV JOINTS
TO 09,8.95,CV JOINTS
TB6 THRUST BEARING,5,THRUST BREARINGS
54302/3-JG02A / 339198/9,22.36,SHOCKS
GE4T-34-700/900,18.5,SHOCKS
341355,8.56,SHOCKS
48510/20-09016,18.08,SHOCKS
48510/20-49565,15,SHOCKS
48510/20-49155 / 334261/2,19.11,SHOCKS
48530/40-49165 / 48181,15,SHOCKS
CRHO 49 KNUCKLES,2.63,KNUCKLES
45530-29685,2.59,KNUCKLES
45503-42030 KNUCKLES,2.63,KNUCKLES
45503-97403 KNUCKLES,2.63,KNUCKLES
8-98055744-0 KNUCKLES,3,KNUCKLES
CRD9 KNUCKLES,2.17,KNUCKLES
CRN41 KNUCKLES,2.49,KNUCKLES
CRN21 KNUCKLES,2.8,KNUCKLES
CRN9 KNUCKLES,2.63,KNUCKLES
CRN1 KNUCKLES,2.83,KNUCKLES
37230-26010 / DDD28020 CB,6.25,CENTRE BEARING
A386 BRAKE P,5,BRAKE PADS
A517E / MP-517E,4.99,BRAKE PADS
