SKU,Name,AroniumPrice,AppPrice,AroniumTax,AppTax,AroniumStock,AppStock,Status,Diff
10223,Pig Finisher Maxi 6kg,11.00,11.00,0,0,0.0,0.0,OK,
10226,Pig Grower conce 50kg,33.00,33.00,0,0,0.0,0.0,OK,
10227,Pig Grower/ﬁn meal 50kg,27.00,27.00,0,0,0.0,0.0,OK,
10230,Pig Lactacting conce 50kg,34.00,34.00,0,0,0.0,0.0,OK,
10231,Pig Lactacting sow meal 50kg,28.00,28.00,0,0,0.0,0.0,OK,
10232,Pig Sow & Boar conce 50kg,32.00,32.00,0,0,0.0,0.0,OK,
10233,Pig Weaner Meal 50kg,30.00,30.00,0,0,0.0,0.0,OK,
10234,Piglet boost 100mls,35.00,35.00,0,0,0.0,3.0,OK,
10235,Piperin 100g,5.00,5.00,0,0,0.0,0.0,OK,
10236,Piperin 1kg,35.00,35.00,0,0,0.0,0.0,OK,
10237,Medium Plastic Crates,6.00,6.00,15.5,15.5,0.0,1.0,OK,
10238,Plastic Needles,0.25,0.25,15.5,15.5,0.0,15.0,OK,
10239,Pocket Balance,5.00,5.00,15.5,15.5,0.0,0.0,OK,
10240,Avi - Tonic 100mls,3.00,3.00,0,0,0.0,0.0,OK,
10241,Procaben 100mls,10.00,10.00,0,0,0.0,0.0,OK,
10242,Prodose Blue,6.00,6.00,0,0,0.0,0.0,OK,
10243,Protein Block 20kg,22.00,22.00,0,0,0.0,0.0,OK,
10244,Rabbit Nipple drinkers,1.00,1.00,15.5,15.5,0.0,0.0,OK,
10245,Rabbit Pellets 10kg,9.00,9.00,0,0,0.0,0.0,OK,
10247,Rabbit Pellets 50kg,28.00,28.00,0,0,0.0,7.0,OK,
10249,Ranox 1litre,10.00,10.00,0,0,0.0,0.0,OK,
10250,Ratol 10g,3.00,3.00,0,0,0.0,120.0,OK,
10251,Razor Blades,1.00,1.00,15.5,15.5,0.0,0.0,OK,
10252,Respimint 100mls,6.00,6.00,0,0,0.0,40.0,OK,
10253,Chikafu Breeder conce 25kg,17.50,17.50,0,0,0.0,0.0,OK,
10254,Chikafu breeder conce 50kg,34.00,34.00,0,0,0.0,0.0,OK,
10255,Chikafu breeder Maxi pack 5kg,16.00,16.00,0,0,0.0,0.0,OK,
10256,Chikafu breeder meal 10kg,7.00,7.00,0,0,0.0,0.0,OK,
10257,Chikafu breeder meal 25kg,14.50,14.50,0,0,0.0,0.0,OK,
10258,Chikafu breeder meal 50kg,28.00,28.00,0,0,0.0,0.0,OK,
10259,Chikafu Grower ﬁnisher meal 25kg,15.00,15.00,0,0,0.0,0.0,OK,
10263,Chikafu Universal Conce 25kg,18.50,18.50,0,0,0.0,0.0,OK,
10224,Pig Grower Conce 10kg,8.00,8.00,0,0,0.0,25.0,OK,
10225,Pig grower conce 25kg,17.50,17.50,0,0,0.0,0.0,OK,
10264,Chikafu Grower meal 10kg,8.00,8.00,0,0,0.0,10.0,OK,
10265,Chikafu starter meal 10kg,8.00,8.00,0,0,0.0,0.0,OK,
10266,Chikafu Starter mash 25kg,15.00,15.00,0,0,0.0,0.0,OK,
10267,Chikafu universal conce 50kg,35.00,35.00,0,0,0.0,0.0,OK,
10268,Chikafu grower ﬁn maxi pack 5kg,9.00,9.00,0,0,0.0,0.0,OK,
10269,Rr starter starter crumbs 50kg,29.00,29.00,0,0,0.0,0.0,OK,
10270,Salt block,17.00,17.00,0,0,0.0,1195.0,OK,
10271,Cypermethrin Sentinel 500mls,8.00,8.00,0,0,0.0,0.0,OK,
10272,Sentinel Tick Grease 500g,7.00,7.00,0,0,0.0,0.0,OK,
10273,Spirit 100mls,1.00,1.00,15.5,15.5,0.0,9.0,OK,
10274,Spirit 200mls,2.00,2.00,15.5,15.5,0.0,15.0,OK,
10275,Coopers Spot on 200mls,10.00,10.00,0,0,0.0,0.0,OK,
10276,Steel needles,1.00,1.00,15.5,15.5,0.0,0.0,OK,
10277,Stressmix 100g,4.00,4.00,0,0,0.0,0.0,OK,
10278,Stressmix 1kg,30.00,30.00,0,0,0.0,0.0,OK,
10279,Sulphadimidine 500mls,13.00,13.00,0,0,0.0,0.0,OK,
10280,Sulphadimine 100mls,6.00,6.00,0,0,0.0,0.0,OK,
10281,Sunﬂower Cake 30kg,15.00,15.00,0,0,0.0,0.0,OK,
10282,Super layers Mash 50kg,28.50,28.50,0,0,0.0,0.0,OK,
10283,Super layers Maxi pack 20kg,55.00,55.00,0,0,0.0,0.0,OK,
10284,Super layers Maxi 5 kg,14.00,14.00,0,0,0.0,0.0,OK,
10285,Super Soya Meal 50kg,35.00,35.00,0,0,0.0,3.0,OK,
10286,Pessaries,6.50,6.50,0,0,0.0,18.0,OK,
10287,Paragon 500mls,10.00,10.00,0,0,0.0,0.0,OK,
10288,Hydrogen peroxide 500mls,10.00,10.00,0,0,0.0,0.0,OK,
10289,Swavet Eye powder 30g,8.00,8.00,0,0,0.0,0.0,OK,
10290,Syringe 5 to 20mls,0.25,0.25,15.5,15.5,0.0,633.0,OK,
10291,Systamex plus ﬂuke 200mls,8.00,8.00,0,0,0.0,0.0,OK,
10292,Systemex 200mls,6.00,6.00,0,0,0.0,0.0,OK,
10293,Tag pen,3.00,3.00,15.5,15.5,0.0,0.0,OK,
10294,Termite poison 5litres,3.50,3.50,0,0,0.0,0.0,OK,
10295,Terramycin 100mls,10.00,10.00,0,0,0.0,0.0,OK,
10296,Terranox 100g,5.00,5.00,0,0,0.0,20.0,OK,
10297,Terranox 1kg,35.00,35.00,0,0,0.0,0.0,OK,
10298,Terranox satchet 30g,3.00,3.00,0,0,0.0,75.0,OK,
10299,Terranox Wound Powder 30g,6.50,6.50,0,0,0.0,0.0,OK,
10300,Thermometer clock,12.00,12.00,15.5,15.5,0.0,0.0,OK,
10302,Tick buster 100mls,6.50,6.50,0,0,0.0,0.0,OK,
10303,Tick buster 500mls,19.00,19.00,0,0,0.0,0.0,OK,
10304,Tooth cutter,13.00,13.00,15.5,15.5,0.0,4.0,OK,
10305,Tribal 62g,10.00,10.00,0,0,0.0,0.0,OK,
10306,Vitamins & Electrolytes 100g,3.00,3.00,0,0,0.0,0.0,OK,
10307,Virucide 1litre,9.00,9.00,0,0,0.0,48.0,OK,
10308,Vuricide 200mls,3.00,3.00,0,0,0.0,91.0,OK,
10309,Vuricide 5litres,24.00,24.00,0,0,0.0,10.0,OK,
10310,Weaner drinking plates 1litre,15.00,15.00,15.5,15.5,0.0,0.0,OK,
10311,Pig Weaner drinking plates 125mls,8.00,8.00,15.5,15.5,0.0,0.0,OK,
10312,Weaner drinking plates 250mls,12.00,12.00,0,0,0.0,0.0,OK,
10313,Weaner maxi pack 28kg,56.00,56.00,0,0,0.0,5.0,OK,
10314,Weaner maxi 7kg,15.00,15.00,0,0,0.0,0.0,OK,
10315,Weaner plates,1.00,1.00,15.5,15.5,0.0,111.0,OK,
10316,Pig Weighing belts(blue plastic),13.00,13.00,15.5,15.5,0.0,1.0,OK,
10317,Wheat Bran 25kg,6.00,6.00,0,0,0.0,0.0,OK,
10318,Wheat straw hay bales,5.00,5.00,0,0,0.0,16.0,OK,
10319,Zerokrim,0.80,0.80,0,0,0.0,260.0,OK,
10320,Ashoxy 20% 1kg,35.00,35.00,0,0,0.0,0.0,OK,
10321,Glyphosate-Fossil 1litre,8.00,8.00,0,0,0.0,0.0,OK,
10322,Layers Mash 50kg,26.50,26.50,0,0,0.0,0.0,OK,
10323,LIGHT BULB -18 WATT,10.00,10.00,15.5,15.5,0.0,0.0,OK,
10324,Champion Dog meal 10kg,12.50,12.50,15.5,15.5,0.0,0.0,OK,
10327,Beeﬀedlot 50kg,22.50,22.50,0,0,0.0,0.0,OK,
10328,Super layers Concentrate 50kg,35.00,35.00,0,0,0.0,0.0,OK,
10337,Shumba plus,2.50,2.50,0,0,0.0,0.0,OK,
10338,Venton Wound oil 100mls,6.00,6.00,0,0,0.0,0.0,OK,
10340,Doxin 100g,8.00,8.00,0,0,0.0,0.0,OK,
10343,Introchick 100mls,5.00,5.00,0,0,0.0,38.0,OK,
10349,Vurikill 250mls,7.00,7.00,0,0,0.0,0.0,OK,
10351,Limestone for free,0.00,0.00,0,0,0.0,0.0,OK,
10352,Huku Dust 200g,2.00,2.00,0,0,0.0,96.0,OK,
10353,Coopers Triatix Dip 5litres,115.00,115.00,0,0,0.0,0.0,OK,
10354,Large plastic crates,8.00,8.00,15.5,15.5,0.0,0.0,OK,
10357,Aquapure Tablets,2.00,2.00,0,0,0.0,0.0,OK,
10359,Amprocox 100g,8.00,8.00,0,0,0.0,0.0,OK,
